0 39 75 103 121 127 121 103 75 39 0 -20 -37 -51 -60 -63 15075
39 75 103 121 127 121 103 75 39 0 -20 -37 -51 -60 -63 -60 6699
75 103 121 127 121 103 75 39 0 -20 -37 -51 -60 -63 -60 -51 -556
103 121 127 121 103 75 39 0 -20 -37 -51 -60 -63 -60 -51 -37 -4345
121 127 121 103 75 39 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 -9922
127 121 103 75 39 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 -14028
121 103 75 39 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 -16513
103 75 39 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 -17520
75 39 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 51 -16621
39 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 51 60 -13758
0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 51 60 63 -9630
-20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 51 60 63 60 -5044
-37 -51 -60 -63 -60 -51 -37 -20 0 20 37 51 60 63 60 51 89
-51 -60 -63 -60 -51 -37 -20 0 20 37 51 60 63 60 51 37 5009
-60 -63 -60 -51 -37 -20 0 20 37 51 60 63 60 51 37 20 9577
-63 -60 -51 -37 -20 0 20 37 51 60 63 60 51 37 20 0 13120
-60 -51 -37 -20 0 20 37 51 60 63 60 51 37 20 0 -20 15463
-51 -37 -20 0 20 37 51 60 63 60 51 37 20 0 -20 -37 16348
-37 -20 0 20 37 51 60 63 60 51 37 20 0 -20 -37 -51 15506
-20 0 20 37 51 60 63 60 51 37 20 0 -20 -37 -51 -60 13083
0 20 37 51 60 63 60 51 37 20 0 -20 -37 -51 -60 -63 9534
20 37 51 60 63 60 51 37 20 0 -20 -37 -51 -60 -63 -60 4955
37 51 60 63 60 51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -45
51 60 63 60 51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -4994
60 63 60 51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 -9625
63 60 51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 -13162
60 51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 -15472
51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 -16338
37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 51 -15462
20 0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 51 60 -13197
0 -20 -37 -51 -60 -63 -60 -51 -37 -20 0 20 37 51 60 63 -9630
