0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 16439
32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 8415
79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -67
95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -8948
127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 -17381
127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 -23836
127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 -28128
95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 -29498
79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 -28233
32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 -24004
0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 -17921
-32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 -9321
-79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 108
-95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 10126
-127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 17992
-127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 24105
-127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 27833
-95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 28838
-79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 27333
-32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 22898
0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 16439
32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 8415
79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -67
95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -8948
127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 -17381
127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 -23836
127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 -28128
95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 -29498
79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 -28233
32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 -24004
0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 -17921
-32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 -9321
-79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 108
-95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 10126
-127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 17992
-127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 24105
-127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 27833
-95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 28838
-79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 27333
-32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 22898
0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 16439
32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 8415
79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -67
95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -8948
127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 -17381
127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 -23836
127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 -28128
95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 -29498
79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 -28233
32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 -24004
0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 -17921
-32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 -9321
-79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 108
-95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 10126
-127 -127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 17992
-127 -127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 24105
-127 -95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 27833
-95 -79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 28838
-79 -32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 27333
-32 0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 22898
0 32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 16439
32 79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 8415
79 95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -67
95 127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -8948
127 127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 -17381
127 127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 -23836
127 95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 -28128
95 79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 -29498
79 32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 -28233
32 0 -32 -79 -95 -127 -127 -127 -95 -79 -32 0 32 79 95 127 -24004
