0 19 36 49 58 61 58 49 36 19 0 -9 -18 -25 -29 -30 1163230
19 36 49 58 61 58 49 36 19 0 -9 -18 -25 -29 -30 -29 622122
36 49 58 61 58 49 36 19 0 -9 -18 -25 -29 -30 -29 -25 82375
49 58 61 58 49 36 19 0 -9 -18 -25 -29 -30 -29 -25 -18 -228339
58 61 58 49 36 19 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 -931517
61 58 49 36 19 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 -1294124
58 49 36 19 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 -1502903
49 36 19 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 -1615800
36 19 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 -1686626
19 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 -1393169
0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 -953995
-9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 -494685
-18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 -19959
-25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 538057
-29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 942064
-30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 1289382
-29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 1603662
-25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 1619932
-18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 1470215
-9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 1308246
0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 1010910
9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 503652
18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 53386
25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -468400
29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 -1028103
30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 -1319422
29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 -1545089
25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 -1654333
18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 -1652789
9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 -1352000
0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 -953995
-9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 -494685
-18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 -19959
-25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 538057
-29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 942064
-30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 1289382
-29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 1603662
-25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 1619932
-18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 1470215
-9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 1308246
0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 1010910
9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 503652
18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 53386
25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -468400
29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 -1028103
30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 -1319422
29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 -1545089
25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 -1654333
18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 -1652789
9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 -1352000
0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 -953995
-9 -18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 -494685
-18 -25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 -19959
-25 -29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 538057
-29 -30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 942064
-30 -29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 1289382
-29 -25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 1603662
-25 -18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 1619932
-18 -9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 1470215
-9 0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 1308246
0 9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 1010910
9 18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 503652
18 25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 53386
25 29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -468400
29 30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 -1028103
30 29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 -1319422
29 25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 10 -1545089
25 18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 -1654333
18 9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 -1652789
9 0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 -1352000
0 -9 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 -978360
-9 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 -494685
-18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 31516
-25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 597985
-29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 942064
-30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 1289382
-29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 1577000
-25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 1593270
-18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 1470215
-9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 1308246
0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 978143
10 18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 497547
18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 53386
25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -495561
29 30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 -1046811
30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 -1369328
29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 -1545089
25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 -1654333
18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 -1652789
9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 -1352000
0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 -978360
-10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 -494685
-18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 31516
-25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 597985
-29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 942064
-30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 1289382
-29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 1577000
-25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 1593270
-18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 1470215
-9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 1308246
0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 978143
10 18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 497547
18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 53386
25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -495561
29 30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 -1046811
30 29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 -1369328
29 25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 -1545089
25 18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 -1654333
18 9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 -1652789
9 0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 -1352000
0 -10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 -978360
-10 -18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 -494685
-18 -25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 31516
-25 -29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 597985
-29 -30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 942064
-30 -29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 1289382
-29 -25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 1577000
-25 -18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 1593270
-18 -9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 1470215
-9 0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 1308246
0 10 18 25 29 30 29 25 18 9 0 -10 -18 -25 -29 -30 978143
